domain,total_appearances,unique_days,first_seen,last_seen,avg_sentiment
u3mqsh2dzbbj2mv6evcobgtp7c3y6y3lox7dwvdoxhkd5dwg26xuxdid.onion,56,8,2025-10-18,2025-10-27,0.024999999999999998
urabekgynqblxgtam67ih6fuw75uzvxkow7aygjfluwifynmd2h75xad.onion,8,8,2025-10-18,2025-10-27,0.18510000000000001
vjbrzpjdjnymqdbuvcjwnj5w2xo65gfehe6c32eh3rv5t324xafo4kad.onion,8,8,2025-10-18,2025-10-27,-0.0056
tamazoncmlw2ohkbsmqxnotudejdd4befrasxuigzzjumqu3zba535yd.onion,31,8,2025-10-18,2025-10-27,0.132
vnd4dagcm4c5qtcshb74bpiyv4cgtod4ea3ikivof5cuviec743f36ad.onion,8,8,2025-10-18,2025-10-27,0.0433875
x4fcceh6bfwxr4b54i6tgufhmut43jqqi4oeapg3oubjlrkzzm5bw5qd.onion,16,8,2025-10-18,2025-10-27,0.1744
xwnoczti2mxfh46rh2tj2rjswy5li4vdp3xwhpvgqp4rcr4rae6m5oad.onion,8,8,2025-10-18,2025-10-27,0.0327
xwnocztikxwixhaqwbw6hoxulfhbwnyr5ywp2pi3taerynbe4ctk5cyd.onion,8,8,2025-10-18,2025-10-27,0.0327
yhvvimzdrtmg2c3n2xllpfywz46vrs2wm27ssb4gehebxhxjilggleqd.onion,8,8,2025-10-18,2025-10-27,0.375
zkpckszx6szikw6wr524oltewzaipjkxq75ychehlifsidcosgaqkbqd.onion,76,8,2025-10-18,2025-10-27,0.061857894736842105
tdoobwweuy365b5c3v42kvcdzj63bjhld5krjgxrqsqnyx56c2ss4mad.onion,8,8,2025-10-18,2025-10-27,0.3673
stuffdlelobatkcg3adbnwz6mphw6yggaovbzexxb5urwhm6sh62wdid.onion,16,8,2025-10-18,2025-10-27,0.07143125
nup2tzjoegi4mxiv4k54rwnosnuzz6lt3d4xwdltsspiqm4r5oeu6cad.onion,16,8,2025-10-18,2025-10-27,0.18713125
qm5csfwuj6e6kl7cbngexy4dss66ifo76v4epxiwwrecg6sr3kq4c7ad.onion,16,8,2025-10-18,2025-10-27,-0.008612500000000002
oniongunutp6jfdhkgvsaucuunp4b7kqmbeeo5nxbxtnfxptlaxotmid.onion,8,8,2025-10-18,2025-10-27,0.0
pavrciouasz7jlxh6aulmhoez7uai6prutvyjipsfibw3zxgxli3y6yd.onion,8,8,2025-10-18,2025-10-27,0.2
pbaqnj5mrr2fw3z2bevwihge62zvvkhz4mwfmdnfezzgd2l2e4qbbmad.onion,16,8,2025-10-18,2025-10-27,0.1373
phantoaxqg5tfhljc3rysh3gsdjagmj5ayncmmvkrsabyrijyrltv7qd.onion,79,8,2025-10-18,2025-10-27,0.253173417721519
pharmacy42hblqssvwizqvrwmy7oec5sfgjtr7hy6dup3t2lf2xzitqd.onion,16,8,2025-10-18,2025-10-27,0.21465
pkuqnr5v4gzyfrervilhcmsncmgjk6rzjfzxu5oaizumlvmcpmoolfad.onion,8,8,2025-10-18,2025-10-27,0.0289
r5bdqsd7b6zwvcnsqv2cz5c7lv63o3g32lgpu3w47ly2eq2ep72re4id.onion,8,8,2025-10-18,2025-10-27,0.0
stuffdleakt4xraufncfbovubw6pmdv3i2wekbdrblqph43fwmkhsvqd.onion,77,8,2025-10-18,2025-10-27,0.10061948051948053
rainb7y3rdcwymvkrfa3nbxzu6biwwxfadoir3ahgusraiyn4k7ahmyd.onion,15,8,2025-10-18,2025-10-27,0.2709
rainbowgeomrg2lukkiwjcrae366oixxjwjtjulhktm3ookw433k7aad.onion,16,8,2025-10-18,2025-10-27,0.25855
rotterniveg6zhats52gsouavstehahyoybnnmyobp77z2trr6sh4fad.onion,24,8,2025-10-18,2025-10-27,0.21230000000000002
rtdxrpt3wx3sk7mkp2l2ku7mrvrrgzzpvff7ik76ggss6by434fd6vid.onion,8,8,2025-10-18,2025-10-27,0.1817
